ID;UUID;Дата;Тип;Категория;Сумма;Счёт;Сотрудник;Комментарий;Чек;Z_Ref;Locked;Смена
1;ab31db59-b44e-4afb-95f8-8888d4b54edd;2026-07-01;income;Выручка наличными;136232.0;Наличные;;из отчёта ДДС · смена;;;;День
2;6a540147-b401-4c78-b0c0-f9b3b656fef7;2026-07-01;income;Выручка безналичными;73068.0;Карта;;из отчёта ДДС · смена;;;;День
3;5334974c-7bdd-49c9-8ec9-6a1199d9f7c8;2026-07-01;expense;Закупка товара;43205.0;Наличные;;из отчёта ДДС;;;;День
4;a5f48544-3d25-404b-9797-2ca3d9d06901;2026-07-01;expense;Выплата поставщику;168323.0;Наличные;;из отчёта ДДС;;;;День
5;3950dcef-16e5-414a-912e-8f557793c8b5;2026-07-01;expense;Зарплата;23800.0;Наличные;;из отчёта ДДС · доля месяца;;;;День
6;24ba7804-b305-46f7-b420-fbdb946f8e3f;2026-07-01;expense;Аренда;12200.0;Наличные;;из отчёта ДДС · доля месяца;;;;День
7;779aaf0f-bcac-40b2-ad52-b4e91d4341b5;2026-07-01;expense;Коммунальные услуги;3000.0;Наличные;;из отчёта ДДС · доля месяца;;;;День
8;7f7b6f49-109e-4169-972b-3b31b626f173;2026-07-01;expense;Налоги;3000.0;Карта;;из отчёта ДДС · доля месяца;;;;День
9;60de938a-6fda-48c2-b5a6-ad720fd11c1c;2026-07-01;expense;Комиссия банка;3116.0;Карта;;из отчёта ДДС;;;;День
10;907e3650-8e32-4ddc-bd4e-f5d99c415f38;2026-07-01;expense;Списание товара;75.0;Наличные;;из отчёта ДДС;;;;День
11;ccde9756-a1e7-4f09-9287-3f4324eaf4df;2026-07-01;expense;Питание сотрудников;1381.0;Наличные;;из отчёта ДДС;;;;День
12;ace4934b-16ef-4cd7-949f-c1e2a598f688;2026-07-01;expense;Расходные материалы;12368.0;Наличные;;из отчёта ДДС;;;;День
13;cd70d67c-7f72-469b-9228-bce2530a204c;2026-07-01;expense;Иман;3334.0;Наличные;;из отчёта ДДС;;;;День
14;b9c2b156-5a7a-4b04-a1da-7628084d0c3d;2026-07-01;income;Выручка наличными;97545.0;Наличные;;из отчёта ДДС · смена;;;;Ночь
15;62733326-5640-4e70-ad1c-c83f2e957e69;2026-07-01;income;Выручка безналичными;60953.0;Карта;;из отчёта ДДС · смена;;;;Ночь
16;da099afe-7d05-4a55-aad0-930395e4c1fd;2026-07-02;income;Выручка наличными;188760.0;Наличные;;из отчёта ДДС · смена;;;;День
17;583e8548-403a-436d-a08d-d71ee79df6fc;2026-07-02;income;Выручка безналичными;64989.0;Карта;;из отчёта ДДС · смена;;;;День
18;f18438ec-8370-4d53-ba44-c3e318e91f2b;2026-07-02;expense;Закупка товара;136699.0;Наличные;;из отчёта ДДС;;;;День
19;3eb8d233-398a-4404-9735-4fb6c4448ab4;2026-07-02;expense;Выплата поставщику;112525.0;Наличные;;из отчёта ДДС;;;;День
20;0d562616-06a7-4bf2-89cb-002523c37b02;2026-07-02;expense;Зарплата;23800.0;Наличные;;из отчёта ДДС · доля месяца;;;;День
21;548d8b40-f744-45fb-936f-510e7d79cc4c;2026-07-02;expense;Аренда;12200.0;Наличные;;из отчёта ДДС · доля месяца;;;;День
22;967d0522-c6cf-4feb-9abe-3301aeea09bf;2026-07-02;expense;Коммунальные услуги;3000.0;Наличные;;из отчёта ДДС · доля месяца;;;;День
23;35d83e3e-2c34-4a60-9e45-0571160433d9;2026-07-02;expense;Налоги;3000.0;Карта;;из отчёта ДДС · доля месяца;;;;День
24;05a38035-ed2b-47a4-9ee9-d630489950e9;2026-07-02;expense;Комиссия банка;2866.0;Карта;;из отчёта ДДС;;;;День
25;72da0d16-2b98-479c-a82d-6dfb0fb70e3f;2026-07-02;expense;Списание товара;297.0;Наличные;;из отчёта ДДС;;;;День
26;6f198346-849c-47d2-bc8c-564698c77d02;2026-07-02;expense;Питание сотрудников;692.0;Наличные;;из отчёта ДДС;;;;День
27;2a6974a2-7b45-4c8f-bd68-ea67b761b11e;2026-07-02;expense;Расходные материалы;91.0;Наличные;;из отчёта ДДС;;;;День
28;037bef7a-e321-4b82-8d72-b64a8483536e;2026-07-02;expense;Иман;2986.0;Наличные;;из отчёта ДДС;;;;День
29;bc97c387-92e5-4014-b677-d6a1ac19ddb1;2026-07-02;income;Выручка наличными;101555.0;Наличные;;из отчёта ДДС · смена;;;;Ночь
30;5e71c83d-5fd9-4b80-9516-7fdab079a687;2026-07-02;income;Выручка безналичными;73032.0;Карта;;из отчёта ДДС · смена;;;;Ночь
31;9401136a-4d27-45d2-aa33-dd3686a459dc;2026-07-03;income;Выручка наличными;180237.0;Наличные;;из отчёта ДДС · смена;;;;День
32;99af3786-ff5a-48eb-981c-b5209b625028;2026-07-03;income;Выручка безналичными;91350.0;Карта;;из отчёта ДДС · смена;;;;День
33;8c3bb9fc-f7f5-4416-b953-f8b562285e27;2026-07-03;expense;Закупка товара;98422.0;Наличные;;из отчёта ДДС;;;;День
34;348b7062-6c4c-49c7-8eb0-abb481836f37;2026-07-03;expense;Выплата поставщику;533899.0;Наличные;;из отчёта ДДС;;;;День
35;0b4b440e-7860-4808-9389-ea26b7888354;2026-07-03;expense;Зарплата;23800.0;Наличные;;из отчёта ДДС · доля месяца;;;;День
36;0cf616a1-cc23-48af-9943-8734892c48db;2026-07-03;expense;Аренда;12200.0;Наличные;;из отчёта ДДС · доля месяца;;;;День
37;d41d25d6-88b9-4671-83c6-7180f108dc6c;2026-07-03;expense;Коммунальные услуги;3000.0;Наличные;;из отчёта ДДС · доля месяца;;;;День
38;cbc3b9a2-c870-4f99-a41d-2dac602ab9fb;2026-07-03;expense;Налоги;3000.0;Карта;;из отчёта ДДС · доля месяца;;;;День
39;1b215960-f2af-4fe5-95f1-3a347fcd4466;2026-07-03;expense;Комиссия банка;7429.0;Карта;;из отчёта ДДС;;;;День
40;2dbcea01-3a1a-4613-bc1d-e0e40174db78;2026-07-03;expense;Списание товара;360.0;Наличные;;из отчёта ДДС;;;;День
41;663205d2-71f0-4863-bd36-72869fd15f88;2026-07-03;expense;Питание сотрудников;718.0;Наличные;;из отчёта ДДС;;;;День
42;e63ecdae-a900-4746-810b-db7a39253ed6;2026-07-03;expense;Расходные материалы;1830.0;Наличные;;из отчёта ДДС;;;;День
43;1e9de747-a5d9-4d64-b27b-2e17e9d4dc4a;2026-07-03;expense;Иман;6448.0;Наличные;;из отчёта ДДС;;;;День
44;873aa4ad-e860-4151-8ba5-3f2ddba80f12;2026-07-03;income;Выручка наличными;99780.0;Наличные;;из отчёта ДДС · смена;;;;Ночь
45;53d67fd5-1213-4696-8286-97f56136cba7;2026-07-03;income;Выручка безналичными;87523.0;Карта;;из отчёта ДДС · смена;;;;Ночь
46;f69ab932-4442-4c7b-b113-bc92cc723b24;2026-07-04;income;Выручка наличными;167826.0;Наличные;;из отчёта ДДС · смена;;;;День
47;26647c7b-9b76-41e1-b3dd-a93679895cb6;2026-07-04;income;Выручка безналичными;112156.0;Карта;;из отчёта ДДС · смена;;;;День
48;629d1f7f-8709-4d27-a3fc-e346dc8693b0;2026-07-04;expense;Закупка товара;32835.0;Наличные;;из отчёта ДДС;;;;День
49;49e3b142-e2a5-4653-97d8-e53752f657ca;2026-07-04;expense;Выплата поставщику;191409.0;Наличные;;из отчёта ДДС;;;;День
50;14a09d37-9ce0-49d3-84f9-979f439da07d;2026-07-04;expense;Зарплата;23800.0;Наличные;;из отчёта ДДС · доля месяца;;;;День
51;892c384e-f26f-49aa-b80d-37516a397e8d;2026-07-04;expense;Аренда;12200.0;Наличные;;из отчёта ДДС · доля месяца;;;;День
52;3f2e544f-7579-440e-86e8-e39eb75e389b;2026-07-04;expense;Коммунальные услуги;3000.0;Наличные;;из отчёта ДДС · доля месяца;;;;День
53;d55f6cdc-1a56-49f7-bb90-d991dc2fa5e4;2026-07-04;expense;Налоги;3000.0;Карта;;из отчёта ДДС · доля месяца;;;;День
54;dbb0c787-4409-4d77-9e02-ec9835eadb9c;2026-07-04;expense;Комиссия банка;3517.0;Карта;;из отчёта ДДС;;;;День
55;8ba35463-9d8f-4c26-bb52-f045a08cb473;2026-07-04;expense;Списание товара;746.0;Наличные;;из отчёта ДДС;;;;День
56;f34878eb-4f9d-49e0-b645-4bee9242c7f9;2026-07-04;expense;Питание сотрудников;654.0;Наличные;;из отчёта ДДС;;;;День
57;56e163c9-606d-4fb4-9018-581a13e4d6ed;2026-07-04;expense;Иман;1275.0;Наличные;;из отчёта ДДС;;;;День
58;2d23424b-95cb-4b13-bcbb-fd9649611634;2026-07-04;income;Выручка наличными;150380.0;Наличные;;из отчёта ДДС · смена;;;;Ночь
59;60c7ea36-1eb7-4e49-88e8-413de1983bb7;2026-07-04;income;Выручка безналичными;16507.0;Карта;;из отчёта ДДС · смена;;;;Ночь
60;330a5ab5-b942-4dd0-96d3-03a5750a3618;2026-07-05;income;Выручка наличными;166796.0;Наличные;;из отчёта ДДС · смена;;;;День
61;2f890b28-1735-4f17-8823-8dd7c5a4218c;2026-07-05;income;Выручка безналичными;87408.0;Карта;;из отчёта ДДС · смена;;;;День
62;58252593-5a78-4099-9aac-339661725133;2026-07-05;expense;Закупка товара;21926.0;Наличные;;из отчёта ДДС;;;;День
63;1782ab77-b89d-49e3-b34c-6a8cf38b3d1a;2026-07-05;expense;Выплата поставщику;352329.0;Наличные;;из отчёта ДДС;;;;День
64;45d38ce3-59d4-4872-ac2b-a1e9eeba95d6;2026-07-05;expense;Зарплата;23800.0;Наличные;;из отчёта ДДС · доля месяца;;;;День
65;b160f4d5-830e-466f-b4dc-9e97d3ad9a00;2026-07-05;expense;Аренда;12200.0;Наличные;;из отчёта ДДС · доля месяца;;;;День
66;5c88a057-0971-45e0-86e3-d460a41bbb57;2026-07-05;expense;Коммунальные услуги;3000.0;Наличные;;из отчёта ДДС · доля месяца;;;;День
67;76e28c65-c48d-4529-9747-3d6524419e5d;2026-07-05;expense;Налоги;3000.0;Карта;;из отчёта ДДС · доля месяца;;;;День
68;798aca02-fc61-4826-b6a4-cfdccc3f820f;2026-07-05;expense;Комиссия банка;3211.0;Карта;;из отчёта ДДС;;;;День
69;cd12787e-5a83-461e-9231-695a76f5f392;2026-07-05;expense;Питание сотрудников;691.0;Наличные;;из отчёта ДДС;;;;День
70;b63aac56-b32f-4263-ba66-f52c39ad4582;2026-07-05;expense;Иман;6020.0;Наличные;;из отчёта ДДС;;;;День
71;8fecd101-8698-459f-adac-feeda136c7cc;2026-07-05;income;Выручка наличными;82780.0;Наличные;;из отчёта ДДС · смена;;;;Ночь
72;2bfcd8b9-0d14-4ad9-b35f-a50688d863a6;2026-07-05;income;Выручка безналичными;87400.0;Карта;;из отчёта ДДС · смена;;;;Ночь
73;41491e28-cfa5-4587-acf1-eee9aaabe658;2026-07-06;income;Выручка наличными;140414.0;Наличные;;из отчёта ДДС · смена;;;;День
74;0aa3dbcd-6224-4799-bf07-a18e49819fbe;2026-07-06;income;Выручка безналичными;95180.0;Карта;;из отчёта ДДС · смена;;;;День
75;04f90a81-c800-446e-9bbd-65312f88bd60;2026-07-06;expense;Закупка товара;81063.0;Наличные;;из отчёта ДДС;;;;День
76;2f89eb12-b6b9-4d01-a02a-e0a3c1c30f3f;2026-07-06;expense;Выплата поставщику;203858.0;Наличные;;из отчёта ДДС;;;;День
77;d5900acf-a9a1-4bde-8596-77b63bc543fe;2026-07-06;expense;Зарплата;23800.0;Наличные;;из отчёта ДДС · доля месяца;;;;День
78;ff676886-989a-424d-b280-d05d2aa682d0;2026-07-06;expense;Аренда;12200.0;Наличные;;из отчёта ДДС · доля месяца;;;;День
79;8bfe3e9c-c316-4ecf-838f-15e891f89ee7;2026-07-06;expense;Коммунальные услуги;3000.0;Наличные;;из отчёта ДДС · доля месяца;;;;День
80;a8f39b0b-0567-4758-b89f-3d5ca9838dd7;2026-07-06;expense;Налоги;3000.0;Карта;;из отчёта ДДС · доля месяца;;;;День
81;d253d391-ca6f-4c3d-b970-5035451c8965;2026-07-06;expense;Комиссия банка;3969.0;Карта;;из отчёта ДДС;;;;День
82;9f7a2a09-6028-46b3-9d40-aee66e34b38c;2026-07-06;expense;Списание товара;686.0;Наличные;;из отчёта ДДС;;;;День
83;7c9e0d33-c34a-42ed-b301-1320d9a50b21;2026-07-06;expense;Питание сотрудников;719.0;Наличные;;из отчёта ДДС;;;;День
84;f2e4a8c2-0774-4a31-8ee6-971f50453dd3;2026-07-06;expense;Расходные материалы;2980.0;Наличные;;из отчёта ДДС;;;;День
85;4a961169-b0a7-4852-ba9f-e7e97b43cca0;2026-07-06;expense;Иман;4648.0;Наличные;;из отчёта ДДС;;;;День
86;c4c09cbe-76de-472f-be91-952b6afd3f81;2026-07-06;income;Выручка наличными;93240.0;Наличные;;из отчёта ДДС · смена;;;;Ночь
87;bd25c9fc-0974-45fc-b873-758f3aa271bc;2026-07-06;income;Выручка безналичными;73279.0;Карта;;из отчёта ДДС · смена;;;;Ночь
88;a5377136-3663-4506-878a-9b24c806bf51;2026-07-07;income;Выручка наличными;148973.0;Наличные;;из отчёта ДДС · смена;;;;День
89;0c7c2655-0930-44f8-b7b6-243cee0c4d33;2026-07-07;income;Выручка безналичными;79983.0;Карта;;из отчёта ДДС · смена;;;;День
