ID;UUID;Дата;Тип;Категория;Сумма;Счёт;Сотрудник;Комментарий;Чек;Z_Ref;Locked;Смена
1;d96f7b9a-ad8c-470e-b65c-41252f6bfc28;2026-04-01;expense;Оплата поставщику наличными;360.0;Наличные;;из листа ОПЛАТА;;;;
2;2fdd7000-1f86-4f73-b9eb-84739105bc9d;2026-04-01;expense;Погашение долга поставщику;600.0;Наличные;;из листа ОПЛАТА;;;;
3;300d3080-ee70-4314-b8a0-8c68f327d79c;2026-04-01;expense;Закуп товара в долг;24381.0;Наличные;;из листа ОПЛАТА · товар в долг, деньги не уходили;;;;
4;43280d18-e3d6-4f05-90f5-2470ee6f2f6e;2026-04-01;expense;Зарплата;10500.0;Наличные;;из листа ОПЛАТА;;;;
5;1a499338-913d-4af4-8ad5-dfd6351c3262;2026-04-01;expense;Прочие расходы;3500.0;Наличные;;из листа ОПЛАТА;;;;
6;016924b3-8577-49b1-936c-2ee662a1f42b;2026-04-01;expense;Оплата поставщику наличными;2000.0;Наличные;;из листа ОПЛАТА;;;;
7;745cf525-2084-47ad-8ecb-7ef3644d43b6;2026-04-01;expense;Погашение долга поставщику;2000.0;Наличные;;из листа ОПЛАТА;;;;
8;acc928db-c2b7-4e40-bb06-863478a140c5;2026-04-01;expense;Закуп товара в долг;22295.0;Наличные;;из листа ОПЛАТА · товар в долг, деньги не уходили;;;;
9;91de2f34-ddfc-49d9-8222-8ed81c6e6857;2026-04-01;expense;Оплата поставщику наличными;650.0;Наличные;;из листа ОПЛАТА;;;;
10;383be017-a238-4a32-9065-af38dbbd3560;2026-04-01;expense;Погашение долга поставщику;400.0;Наличные;;из листа ОПЛАТА;;;;
11;8d4aeace-57fa-4c4b-a4c2-33ca93d213dc;2026-04-01;expense;Закуп товара в долг;18700.0;Наличные;;из листа ОПЛАТА · товар в долг, деньги не уходили;;;;
12;afd8ca22-c93f-4c5f-b706-02fd0c533d11;2026-04-01;expense;Оплата поставщику наличными;805.0;Наличные;;из листа ОПЛАТА;;;;
13;95f0ce93-6fc6-4fc2-b417-20b942f94bc5;2026-04-01;expense;Погашение долга поставщику;25144.0;Наличные;;из листа ОПЛАТА;;;;
14;49c04a8c-45de-4876-9f35-18854f362b3c;2026-04-01;expense;Закуп товара в долг;6171.0;Наличные;;из листа ОПЛАТА · товар в долг, деньги не уходили;;;;
15;4c4f1223-272f-464d-a708-63b1f2d36c68;2026-04-01;expense;Оплата поставщику наличными;7881.0;Наличные;;из листа ОПЛАТА;;;;
16;e83831a2-db0c-4297-95f0-62a68b4d3421;2026-04-01;expense;Погашение долга поставщику;530.0;Наличные;;из листа ОПЛАТА;;;;
17;1eff2b6f-360e-4058-a97f-641b156b44e4;2026-04-01;expense;Закуп товара в долг;4615.0;Наличные;;из листа ОПЛАТА · товар в долг, деньги не уходили;;;;
18;5e777e91-cb2f-4345-a9c6-b8a686a7e652;2026-04-01;expense;Оплата поставщику наличными;1890.0;Наличные;;из листа ОПЛАТА;;;;
19;ee9bc3c8-9081-4d0b-965b-3ed56f08253d;2026-04-01;expense;Погашение долга поставщику;8740.0;Наличные;;из листа ОПЛАТА;;;;
20;fff637b1-5650-41a1-b096-5cc9e271b3c7;2026-04-01;expense;Закуп товара в долг;3379.0;Наличные;;из листа ОПЛАТА · товар в долг, деньги не уходили;;;;
21;1267a64b-02ea-4b73-8d02-e5d1d52315ea;2026-04-01;expense;Оплата поставщику наличными;16250.0;Наличные;;из листа ОПЛАТА;;;;
22;955a5f3d-c0f2-4666-9584-1116a9ae78d9;2026-04-01;expense;Погашение долга поставщику;22681.0;Наличные;;из листа ОПЛАТА;;;;
23;cb822f00-8960-4b77-8f1e-5bcc2a8a642e;2026-04-01;expense;Закуп товара в долг;6980.0;Наличные;;из листа ОПЛАТА · товар в долг, деньги не уходили;;;;
24;567674be-95f1-49b0-a2bc-163d57f5cb4e;2026-04-01;expense;Оплата поставщику наличными;1540.0;Наличные;;из листа ОПЛАТА;;;;
25;bd8db997-a520-44b5-ae3d-1ba57f087570;2026-04-01;expense;Погашение долга поставщику;4822.0;Наличные;;из листа ОПЛАТА;;;;
26;ae65b846-c886-4301-8034-692cb386b379;2026-04-01;expense;Закуп товара в долг;4020.0;Наличные;;из листа ОПЛАТА · товар в долг, деньги не уходили;;;;
27;fec44af4-1add-4bfe-bafe-96de7b187636;2026-04-01;expense;Оплата поставщику наличными;1040.0;Наличные;;из листа ОПЛАТА;;;;
28;29d61c39-842b-4bae-b575-41f633a6771c;2026-04-01;expense;Погашение долга поставщику;9670.0;Наличные;;из листа ОПЛАТА;;;;
29;650410ca-6f1a-4a09-beec-0fc27dd37371;2026-04-01;expense;Закуп товара в долг;3750.0;Наличные;;из листа ОПЛАТА · товар в долг, деньги не уходили;;;;
30;f8ba9550-6d55-4671-ba67-d4f2617a998d;2026-04-01;expense;Оплата поставщику наличными;795.0;Наличные;;из листа ОПЛАТА;;;;
31;1ce6f4d9-fc71-4ba7-bef2-26a14c033b28;2026-04-01;expense;Погашение долга поставщику;1171.0;Наличные;;из листа ОПЛАТА;;;;
32;c05b183b-3bee-460a-bd85-bcb5c6a4d95c;2026-04-01;expense;Закуп товара в долг;14865.0;Наличные;;из листа ОПЛАТА · товар в долг, деньги не уходили;;;;
33;3fee8996-6a38-4659-b046-5d3cd495ada2;2026-04-01;expense;Оплата поставщику наличными;1800.0;Наличные;;из листа ОПЛАТА;;;;
34;5831cbb5-ed88-407c-a6bb-786381314613;2026-04-01;expense;Погашение долга поставщику;5223.0;Наличные;;из листа ОПЛАТА;;;;
35;d4e6a553-c7e8-4410-9f37-37ce101630f5;2026-04-01;expense;Закуп товара в долг;3348.0;Наличные;;из листа ОПЛАТА · товар в долг, деньги не уходили;;;;
36;e333fbfe-d645-42ca-9efb-91f78d5499ad;2026-04-01;expense;Оплата поставщику наличными;24024.0;Наличные;;из листа ОПЛАТА;;;;
37;82954355-c11d-4777-a9a1-17fa0e7278f0;2026-04-01;expense;Погашение долга поставщику;20211.0;Наличные;;из листа ОПЛАТА;;;;
