ID;UUID;Дата;Тип;Категория;Сумма;Счёт;Сотрудник;Комментарий;Чек;Z_Ref;Locked;Смена
1;6349c7dd-3c6c-4b1d-9576-dcc123eda80d;2026-04-01;expense;Оплата поставщику наличными;360.0;Наличные;;из листа ОПЛАТА;;;;
2;77e6b7da-d00c-458b-949a-55528a5aca38;2026-04-01;expense;Погашение долга поставщику;600.0;Наличные;;из листа ОПЛАТА;;;;
3;2868437e-3d82-48a5-b74c-1bff328488a6;2026-04-01;expense;Зарплата;10500.0;Наличные;;из листа ОПЛАТА;;;;
4;085bb712-0549-4177-8caf-b9c3250e9140;2026-04-01;expense;Прочие расходы;3500.0;Наличные;;из листа ОПЛАТА;;;;
5;87b617ff-9324-42e5-817c-3a76bae24d6a;2026-04-01;expense;Оплата поставщику наличными;2000.0;Наличные;;из листа ОПЛАТА;;;;
6;dd70298d-7880-43ed-b8a9-16dc5c90a28d;2026-04-01;expense;Погашение долга поставщику;2000.0;Наличные;;из листа ОПЛАТА;;;;
7;0198d167-52b0-49a7-8bc2-b4f3ee3e29d2;2026-04-01;expense;Оплата поставщику наличными;650.0;Наличные;;из листа ОПЛАТА;;;;
8;8495bf07-d191-48b2-9c0f-4a131eacd520;2026-04-01;expense;Погашение долга поставщику;400.0;Наличные;;из листа ОПЛАТА;;;;
9;22ac62d3-e084-4cdb-a6c7-fe1fbf4e2627;2026-04-01;expense;Оплата поставщику наличными;805.0;Наличные;;из листа ОПЛАТА;;;;
10;89a8bc82-2cb1-4551-9026-8610bb504b8f;2026-04-01;expense;Погашение долга поставщику;25144.0;Наличные;;из листа ОПЛАТА;;;;
11;3742c7b7-358a-4d0e-82b6-2fbf436f4038;2026-04-01;expense;Оплата поставщику наличными;7881.0;Наличные;;из листа ОПЛАТА;;;;
12;43823599-37bb-44df-be7a-0ba8c66b1d8a;2026-04-01;expense;Погашение долга поставщику;530.0;Наличные;;из листа ОПЛАТА;;;;
13;dc95e8aa-1695-4992-bb3c-db11a3eb829c;2026-04-01;expense;Оплата поставщику наличными;1890.0;Наличные;;из листа ОПЛАТА;;;;
14;f5b01d65-4cd2-486f-88dc-10d6891ea65f;2026-04-01;expense;Погашение долга поставщику;8740.0;Наличные;;из листа ОПЛАТА;;;;
15;28ccc63b-052b-47ba-87a1-75ccc0877e04;2026-04-01;expense;Оплата поставщику наличными;16250.0;Наличные;;из листа ОПЛАТА;;;;
16;df96ada7-014e-49ad-8381-482014c7ace4;2026-04-01;expense;Погашение долга поставщику;22681.0;Наличные;;из листа ОПЛАТА;;;;
17;c86c0b7a-9e01-434b-9819-9f90979ba652;2026-04-01;expense;Оплата поставщику наличными;1540.0;Наличные;;из листа ОПЛАТА;;;;
18;7987a30f-b376-4371-b8e9-92ec9da7ddb1;2026-04-01;expense;Погашение долга поставщику;4822.0;Наличные;;из листа ОПЛАТА;;;;
19;42685ce6-8cc1-416f-b144-8c168729591b;2026-04-01;expense;Оплата поставщику наличными;1040.0;Наличные;;из листа ОПЛАТА;;;;
20;c90b9da7-17b0-4a62-8067-aaf5a5bda088;2026-04-01;expense;Погашение долга поставщику;9670.0;Наличные;;из листа ОПЛАТА;;;;
21;5ffbe082-ee89-4f1c-857c-c8c208063a64;2026-04-01;expense;Оплата поставщику наличными;795.0;Наличные;;из листа ОПЛАТА;;;;
22;3e5f9988-026d-4200-9bab-3bade49d1048;2026-04-01;expense;Погашение долга поставщику;1171.0;Наличные;;из листа ОПЛАТА;;;;
23;301be071-0f1e-4d36-8e94-6d94a0b23d24;2026-04-01;expense;Оплата поставщику наличными;1800.0;Наличные;;из листа ОПЛАТА;;;;
24;6e73beb1-ed2e-4942-b711-b36230fd5abb;2026-04-01;expense;Погашение долга поставщику;5223.0;Наличные;;из листа ОПЛАТА;;;;
25;0e4a9cd4-ad0d-4b0f-b7d7-8cb6676e29cb;2026-04-01;expense;Оплата поставщику наличными;24024.0;Наличные;;из листа ОПЛАТА;;;;
26;c0dbb1c0-f237-4b5c-84f3-2af4a5c2d1b2;2026-04-01;expense;Погашение долга поставщику;20211.0;Наличные;;из листа ОПЛАТА;;;;
27;26f11f54-1dd9-4a3f-8039-1abc7d30f142;2026-04-01;expense;Оплата поставщику наличными;3124.0;Наличные;;из листа ОПЛАТА;;;;
28;7032ba79-fbd7-4762-a6fc-c7bcec33a231;2026-04-01;expense;Оплата поставщику наличными;16643.0;Наличные;;из листа ОПЛАТА;;;;
